run_timestamp,model_name,parameter_count,device,gpu_memory_mb_after_loading,load_seconds,prompt_id,prompt_type,prompt_text,max_new_tokens,temperature,top_p,seed,generated_text,continuation_only,input_tokens,generated_tokens,generation_seconds,tokens_per_second,gpu_memory_mb_after_generation,gpu_peak_memory_mb_for_prompt
2026-06-16T01:48:47,openai-community/gpt2,124439808,cpu,,48.885,p01,sentence_continuation,Avañe'ẽ ha'e,80,0.7,0.9,42,Avañe'ẽ ha'e hẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁ�,hẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁẽ ὁ�,11,80,3.677,21.757,,
2026-06-16T01:48:47,openai-community/gpt2,124439808,cpu,,48.885,p02,sentence_continuation,Paraguái retãme,80,0.7,0.9,42,"Paraguái retãme:

1. I have heard the word ""cirque"" from many times, and it means ""to be held in reverence.""

2. The word ""cirque"" means ""to be held in reverence.""

3. ""Cirque"" means ""to be held in reverence.""

4. It means ""to be held in reverence.""

",":

1. I have heard the word ""cirque"" from many times, and it means ""to be held in reverence.""

2. The word ""cirque"" means ""to be held in reverence.""

3. ""Cirque"" means ""to be held in reverence.""

4. It means ""to be held in reverence.""",7,80,3.485,22.956,,
2026-06-16T01:48:47,openai-community/gpt2,124439808,cpu,,48.885,p03,sentence_continuation,Ko kuatiañe'ẽ omombe'u,80,0.7,0.9,42,Ko kuatiañe'ẽ omombe'u hu'átia 'ẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽ�,hu'átia 'ẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽẽ�,16,80,3.548,22.548,,
2026-06-16T01:48:47,openai-community/gpt2,124439808,cpu,,48.885,p04,sentence_continuation,Mitãnguéra oho,80,0.7,0.9,42,Mitãnguéra oho ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó,ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó ó,8,80,3.5,22.857,,
2026-06-16T01:48:47,openai-community/gpt2,124439808,cpu,,48.885,p05,sentence_continuation,Ñane retã rembiasakue,80,0.7,0.9,42,"Ñane retã rembiasakue Ña açar í bêts, içi ou bêts.

Kêlêmêtê mêlêtê sêlê mêlêtê.

Bêtsêtê mêlêtêsêbêtêmêmêtêmêtê.
","Ña açar í bêts, içi ou bêts.

Kêlêmêtê mêlêtê sêlê mêlêtê.

Bêtsêtê mêlêtêsêbêtêmêmêtêmêtê.",10,80,3.502,22.844,,
2026-06-16T01:48:47,openai-community/gpt2,124439808,cpu,,48.885,p06,instruction_style,Continue this short Guarani text: Avañe'ẽ,80,0.7,0.9,42,Continue this short Guarani text: Avañe'ẽếẽếếếếếếếếếếếếếếếếếếếếếếếế�,ếẽếếếếếếếếếếếếếếếếếếếếếếếế�,16,80,3.528,22.676,,
2026-06-16T02:04:32,bigscience/bloom-560m,559214592,cuda,1066.62,173.631,p01,sentence_continuation,Avañe'ẽ ha'e,80,0.7,0.9,42,Avañe'ẽ ha'e o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o,o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o,7,80,3.336,23.981,1075.74,1095.95
2026-06-16T02:04:32,bigscience/bloom-560m,559214592,cuda,1066.62,173.631,p02,sentence_continuation,Paraguái retãme,80,0.7,0.9,42,"Paraguái retãme o que eu penso sobre o que eu vejo. Se eu não estou certo, não estou certo. Se eu não estou certo, não estou certo. Se eu não estou certo, não estou certo. Se eu não estou certo, não estou certo. Se eu não estou certo, não estou certo. Se eu não estou certo, não estou certo. Se eu não estou certo, não estou certo.","o que eu penso sobre o que eu vejo. Se eu não estou certo, não estou certo. Se eu não estou certo, não estou certo. Se eu não estou certo, não estou certo. Se eu não estou certo, não estou certo. Se eu não estou certo, não estou certo. Se eu não estou certo, não estou certo. Se eu não estou certo, não estou certo.",6,80,2.931,27.294,1075.74,1095.86
2026-06-16T02:04:32,bigscience/bloom-560m,559214592,cuda,1066.62,173.631,p03,sentence_continuation,Ko kuatiañe'ẽ omombe'u,80,0.7,0.9,42,Ko kuatiañe'ẽ omombe'u oganoñ ku olubododu oganoñ ku olubododu olubododu oganoñ ku olubododu olubododu oganoñ ku olubododu olubododu olubododu oganoñ ku olubododu olubododu oganoñ ku,oganoñ ku olubododu oganoñ ku olubododu olubododu oganoñ ku olubododu olubododu oganoñ ku olubododu olubododu olubododu oganoñ ku olubododu olubododu oganoñ ku,9,80,2.925,27.35,1075.74,1096.14
2026-06-16T02:04:32,bigscience/bloom-560m,559214592,cuda,1066.62,173.631,p04,sentence_continuation,Mitãnguéra oho,80,0.7,0.9,42,"Mitãnguéra oho oho, ooh.”
“Không, không.” Mua đi, mua đi. “Nhưng, nếu có ai muốn, tôi có thể nói cho họ biết, và bạn sẽ thấy, bạn sẽ thấy họ rất hạnh phúc.”
“Thật không may.” Nói về chuyện đó. “Tôi chỉ muốn nói, đó là một sự cố nghiêm trọng, và tôi không","oho, ooh.”
“Không, không.” Mua đi, mua đi. “Nhưng, nếu có ai muốn, tôi có thể nói cho họ biết, và bạn sẽ thấy, bạn sẽ thấy họ rất hạnh phúc.”
“Thật không may.” Nói về chuyện đó. “Tôi chỉ muốn nói, đó là một sự cố nghiêm trọng, và tôi không",6,80,2.948,27.137,1075.74,1095.86
