run_timestamp,base_model_name,adapter_path,prompt_id,prompt_type,prompt_text,output_text,device,parameter_count,input_token_count,output_token_count,new_token_count,generation_seconds,tokens_per_second,gpu_peak_memory_mb,max_new_tokens,temperature,top_p
2026-06-16T13:58:31,openai-community/gpt2,models/fine_tuned/gpt2_lora_512_chunked_500,p01,sentence_continuation,Avañe'ẽ ha'e,Avañe'ẽ ha'e'ẽva ha'e'ẽva ha'e'ẽva ha'e'ẽva ha'e'ẽva ha'e'ẽva ha'e'ẽva ha'e'ẽva ha'e'ẽva ha'e'ẽva ha'e,cuda,125619456,11,91,80,3.129,25.569,257.45,80,0.7,0.9
2026-06-16T13:58:31,openai-community/gpt2,models/fine_tuned/gpt2_lora_512_chunked_500,p02,sentence_continuation,Paraguái retãme,"Paraguái retãme, ára oĩ mokõi oñepyrũme. Arandu ára ha ñemombe’e, oñepyrũme. Hérava oĩ rupi oñepyrũme, oñepyrũme, oñepyrũme. Mandu",cuda,125619456,7,87,80,2.333,34.297,257.45,80,0.7,0.9
2026-06-16T13:58:31,openai-community/gpt2,models/fine_tuned/gpt2_lora_512_chunked_500,p03,sentence_continuation,Ko kuatiañe'ẽ omombe'u,"Ko kuatiañe'ẽ omombe'u kuatiañe'ẽ ojejyhe'ỹ kuatiañe'ẽ ombohára ka'ãme, ombohára ojejyhe'ỹ ha'e ombohára ojekuaa'ẽ ojekuaa'ẽ.",cuda,125619456,16,96,80,2.3,34.786,257.63,80,0.7,0.9
2026-06-16T13:58:31,openai-community/gpt2,models/fine_tuned/gpt2_lora_512_chunked_500,p04,sentence_continuation,Mitãnguéra oho,Mitãnguéra oho'ẽva avei mokõi jave oñemoñemby ohecha'ẽva oĩ ñemby. Ojuhuéra mokõi mokõi oñemoñemby oñemoñemby ojejapóva mokõi oñemo,cuda,125619456,8,88,80,2.322,34.448,257.63,80,0.7,0.9
2026-06-16T13:58:31,openai-community/gpt2,models/fine_tuned/gpt2_lora_512_chunked_500,p05,sentence_continuation,Ñane retã rembiasakue,"Ñane retã rembiasakue:

Avei ha'e'e ha'e mokuaa ñembykue kuati ha mokuaa ojapo ojapo ojapo ojapo ojapo ojapo oje'ẽva ojapo ojapo ojapo ojapo oje'ẽva ojapo o",cuda,125619456,10,90,80,2.403,33.288,257.63,80,0.7,0.9
2026-06-16T13:58:31,openai-community/gpt2,models/fine_tuned/gpt2_lora_512_chunked_500,p06,sentence_continuation,Tetã guasu,Tetã guasu (guasu ha'e oñemo hag̃ua ha'e ary 1894-pe). He was later sent to the Republic of China as a prisoner of war in 1918. He was sent to the Republic of China as a prisoner of war in 1918. He was sent to the Republic of China as a prisoner of war in 1918. He was sent to the Republic of,cuda,125619456,5,85,80,2.322,34.446,257.63,80,0.7,0.9
2026-06-16T13:58:31,openai-community/gpt2,models/fine_tuned/gpt2_lora_512_chunked_500,p07,sentence_continuation,Oñemoarandu haguã,"Oñemoarandu haguã heta Mbo’eĩ ha mba’eĩ vaguasu. Mbo’eĩ, jave haguãi’e oñemoarandu, katu ojejapo ombo’e’u, katu ojejapo ombo’e’u ombo�",cuda,125619456,9,89,80,2.767,28.91,257.63,80,0.7,0.9
2026-06-16T13:58:31,openai-community/gpt2,models/fine_tuned/gpt2_lora_512_chunked_500,p08,sentence_continuation,Ko ára,"Ko ára ijapo ára mokueva karai karai ary, karai ary, oñembóva karai ko mokueva karai oñembóva. Mokueva, iñembóva, oñembóva karai, oñembóva oñembóva oñemb",cuda,125619456,4,84,80,2.433,32.881,257.63,80,0.7,0.9
2026-06-16T13:58:31,openai-community/gpt2,models/fine_tuned/gpt2_lora_512_chunked_500,p09,sentence_continuation,Ñande ñe'ẽ,Ñande ñe'ẽva ñe'ẽva ñe'ẽva ñe'ẽva ñe'ẽva ñe'ẽva ñe'ẽva ñe'ẽva ñe'ẽva ñe'ẽva ñe'ẽ,cuda,125619456,10,90,80,2.346,34.103,257.63,80,0.7,0.9
2026-06-16T13:58:31,openai-community/gpt2,models/fine_tuned/gpt2_lora_512_chunked_500,p10,sentence_continuation,Ha upéicha,Ha upéicha oĩ ha'e ha'e ary 1997. Kéra oĩ ombo'e'ẽvape ha'e oĩ mba'e'ẽva oĩ ha'e ojeygua ha'e oĩ oñemba'e'ẽva oĩ oñemba,cuda,125619456,5,85,80,2.356,33.954,257.63,80,0.7,0.9
2026-06-16T13:58:31,openai-community/gpt2,models/fine_tuned/gpt2_lora_512_chunked_500,p11,sentence_continuation,Tekove porã,"Tekove porãtakuéra, ko'e opa'e oñe'ẽtakuéra ha'e ojejapo ha ha'e ojapo'ẽtakuéra ha ojapo'ẽtakuéra ha ojapo'ẽtakuéra ha ojapo'ẽtakué",cuda,125619456,5,85,80,2.303,34.738,257.63,80,0.7,0.9
2026-06-16T13:58:31,openai-community/gpt2,models/fine_tuned/gpt2_lora_512_chunked_500,p12,sentence_continuation,Yvy ári,Yvy áriha oñembyi áriha mbokóva pegua. Oñembyi áriha oñembyi áriha mbokóva pegua. Oñembyi áriha oñembyi áriha mbokóva pegua. Oñembyi á,cuda,125619456,5,85,80,2.293,34.887,257.63,80,0.7,0.9
